usuario;data_acesso
joaodanilo;23/05/2025 14:47
joaodanilo;23/05/2025 14:48
joaodanilo;23/05/2025 14:51:20
joaodanilo;23/05/2025 14:52:26
joaodanilo;23/05/2025 14:56:31
joaodanilo;23/05/2025 15:00:02
joaodanilo;23/05/2025 15:00:40
joaodanilo;23/05/2025 15:02:15
joaodanilo;23/05/2025 15:12:29
joaodanilo;23/05/2025 15:13:05
joaodanilo;23/05/2025 15:23:19
joaodanilo;23/05/2025 15:25:49
joaodanilo;23/05/2025 15:36:02
joaodanilo;23/05/2025 15:45:50
joaodanilo;23/05/2025 15:47:37
joaodanilo;23/05/2025 15:48:27
joaodanilo;23/05/2025 15:50:14
joaodanilo;23/05/2025 15:52:00
joaodanilo;23/05/2025 15:54:05
joaodanilo;23/05/2025 16:00:31
joaodanilo;23/05/2025 16:12:01
joaodanilo;23/05/2025 16:21:52
joaodanilo;23/05/2025 16:28:58
joaodanilo;23/05/2025 16:31:14
joaodanilo;23/05/2025 16:39:13
joaodanilo;26/05/2025 14:26:26
joaodanilo;26/05/2025 14:35:22
joaodanilo;26/05/2025 14:49:05
joaodanilo;26/05/2025 14:49:10
joaodanilo;26/05/2025 14:49:40
joaodanilo;26/05/2025 15:05:25
joaodanilo;26/05/2025 15:05:28
joaodanilo;26/05/2025 15:05:43
joaodanilo;26/05/2025 15:07:30
joaodanilo;26/05/2025 15:07:40
joaodanilo;26/05/2025 15:08:25
joaodanilo;26/05/2025 15:11:51
joaodanilo;26/05/2025 15:28:50
joaodanilo;26/05/2025 15:33:49
joaodanilo;26/05/2025 15:36:30
joaodanilo;26/05/2025 15:47:59
joaodanilo;26/05/2025 16:01:18
joaodanilo;26/05/2025 16:02:15
joaodanilo;26/05/2025 16:07:15
joaodanilo;26/05/2025 16:11:55
joaodanilo;26/05/2025 16:21:10
joaodanilo;26/05/2025 16:24:07
joaodanilo;26/05/2025 17:57:04
joaodanilo;26/05/2025 17:57:25
joaodanilo;26/05/2025 18:28:01
joaodanilo;26/05/2025 18:30:04
joaodanilo;26/05/2025 18:56:46
joaodanilo;26/05/2025 19:01:18
joaodanilo;26/05/2025 19:09:41
joaodanilo;26/05/2025 19:09:59
joaodanilo;26/05/2025 19:14:19
joaodanilo;26/05/2025 19:15:10
joaodanilo;26/05/2025 19:21:44
joaodanilo;27/05/2025 10:04:01
joaodanilo;27/05/2025 11:49:46
joaodanilo;27/05/2025 13:54:39
joaodanilo;27/05/2025 13:55:00
joaodanilo;27/05/2025 14:32:54
joaodanilo;27/05/2025 14:46:16
joaodanilo;27/05/2025 14:47:19
joaodanilo;27/05/2025 14:49:36
joaodanilo;27/05/2025 15:17:35
joaodanilo;27/05/2025 15:24:53
joaodanilo;27/05/2025 15:26:52
joaodanilo;27/05/2025 15:36:05
joaodanilo;27/05/2025 15:47:40
